Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Xu L.D., Duan L.","13408889400;55729334600;","Big data for cyber physical systems in industry 4.0: a survey",2019,"Enterprise Information Systems","13","2",,"148","169",,303,"10.1080/17517575.2018.1442934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042909694&doi=10.1080%2f17517575.2018.1442934&partnerID=40&md5=355f9e9b48ef87afdf791fa464358ca9","Department of Information Technology & Decision Sciences, Strome College of Business, Old Dominion University, Norfolk, VA, United States; Department of Information Systems and Business Analytics, Frank G. Zarb School of Business, Hofstra University, Hempstead, NY, United States","Xu, L.D., Department of Information Technology & Decision Sciences, Strome College of Business, Old Dominion University, Norfolk, VA, United States; Duan, L., Department of Information Systems and Business Analytics, Frank G. Zarb School of Business, Hofstra University, Hempstead, NY, United States","With the technology development in cyber physical systems and big data, there are huge potential to apply them to achieve personalization and improve resource efficiency in Industry 4.0. As Industry 4.0 is the relatively new concept originated from an advanced manufacturing vision supported by the German government in 2011, there are only several existing surveys on either cyber physical systems or big data in Industry 4.0. In addition, there are much less surveys related to the intersection between cyber physical systems and big data in Industry 4.0. However, cyber physical systems are closely related to big data in nature. For example, cyber physical systems will continuously generate a large amount of data which requires the big data techniques to process and help to improve system scalability, security, and efficiency. Therefore, we conduct this survey to bring more attention to this critical intersection and highlight the future research direction to achieve the fully autonomy in Industry 4.0. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","big data; cloud computing; cyber-physical systems; data science; industrial information integration engineering; Industry 4.0; IoT","Cloud computing; Cyber Physical System; Distributed computer systems; Efficiency; Embedded systems; Industry 4.0; Surveys; Advanced manufacturing; data science; Future research directions; German government; Information integration; Resource efficiencies; System scalability; Technology development; Big data",Article,"Final","",Scopus,2-s2.0-85042909694
"Albuquerque R., Koskinen Y., Zhang C.","7005471667;8209677900;23669393900;","Corporate social responsibility and firm risk: Theory and empirical evidence",2019,"Management Science","65","10",,"4451","4469",,288,"10.1287/mnsc.2018.3043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075339149&doi=10.1287%2fmnsc.2018.3043&partnerID=40&md5=835277825d3d6c4ffcabb14685849483","Carroll School of Management, CEPR, ECGI, Boston College, Chestnut Hill, MA  02467, United States; Haskayne School of Business, University of Calgary, Calgary, AB  T2N 1N4, Canada; Warwick Business School, University of Warwick, Coventry, CV4 7AL, United Kingdom","Albuquerque, R., Carroll School of Management, CEPR, ECGI, Boston College, Chestnut Hill, MA  02467, United States; Koskinen, Y., Haskayne School of Business, University of Calgary, Calgary, AB  T2N 1N4, Canada; Zhang, C., Warwick Business School, University of Warwick, Coventry, CV4 7AL, United Kingdom","This paper presents an industry equilibrium model where firms have a choice to engage in corporate social responsibility (CSR) activities. We model CSR as an investment to increase product differentiation that allows firms to benefit from higher profit margins. The model predicts that CSR decreases systematic risk and increases firm value and that these effects are stronger for firms with high product differentiation. We find supporting evidence for our predictions. We address a potential endogeneity problem by instrumenting CSR using data on the political affiliation of the firm’s home state. © 2018 The Author(s).","Beta; Corporate social responsibility; Firm value; Industry equilibrium; Product differentiation; Systematic risk","Operations research; Beta; Corporate social responsibilities (CSR); Firm value; Product differentiation; Systematic risk; Management",Article,"Final","",Scopus,2-s2.0-85075339149
"Logg J.M., Minson J.A., Moore D.A.","36859582200;36453195800;7404567500;","Algorithm appreciation: People prefer algorithmic to human judgment",2019,"Organizational Behavior and Human Decision Processes","151",,,"90","103",,252,"10.1016/j.obhdp.2018.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061014799&doi=10.1016%2fj.obhdp.2018.12.005&partnerID=40&md5=4cc449b7d1725c7614f693addcc4a9fa","Harvard Kennedy School, Harvard University, United States; Haas School of Business, University of California, Berkeley, United States","Logg, J.M., Harvard Kennedy School, Harvard University, United States; Minson, J.A., Harvard Kennedy School, Harvard University, United States; Moore, D.A., Haas School of Business, University of California, Berkeley, United States","Even though computational algorithms often outperform human judgment, received wisdom suggests that people may be skeptical of relying on them (Dawes, 1979). Counter to this notion, results from six experiments show that lay people adhere more to advice when they think it comes from an algorithm than from a person. People showed this effect, what we call algorithm appreciation, when making numeric estimates about a visual stimulus (Experiment 1A) and forecasts about the popularity of songs and romantic attraction (Experiments 1B and 1C). Yet, researchers predicted the opposite result (Experiment 1D). Algorithm appreciation persisted when advice appeared jointly or separately (Experiment 2). However, algorithm appreciation waned when: people chose between an algorithm's estimate and their own (versus an external advisor's; Experiment 3) and they had expertise in forecasting (Experiment 4). Paradoxically, experienced professionals, who make forecasts on a regular basis, relied less on algorithmic advice than lay people did, which hurt their accuracy. These results shed light on the important question of when people rely on algorithmic advice over advice from people and have implications for the use of “big data” and algorithmic advice it generates. © 2018 Elsevier Inc.","Accuracy; Advice-taking; Algorithms; Decision-making; Forecasting; Theory of machine",,Article,"Final","",Scopus,2-s2.0-85061014799
"Gursoy D., Chi O.H., Lu L., Nunkoo R.","6603436465;57207259441;56449741500;18434741100;","Consumers acceptance of artificially intelligent (AI) device use in service delivery",2019,"International Journal of Information Management","49",,,"157","169",,218,"10.1016/j.ijinfomgt.2019.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063957555&doi=10.1016%2fj.ijinfomgt.2019.03.008&partnerID=40&md5=6be274b59e9eb0a38613007bbfe77aaf","School of Hospitality Business Management, Carson College of Business, Washington State University, Pullman, United States; School of Tourism and Hospitality, University of Johannesburg, Johannesburg, South Africa; Department of Tourism and Hospitality Management, Temple University, 1810 North 13th Street, Speakman Hall 308, Philadelphia, PA  19122-6083, United States; Department of Management, University of Mauritius, Reduit, Mauritius; Griffith Institute for Tourism, Griffith University, Gold Coast, Australia","Gursoy, D., School of Hospitality Business Management, Carson College of Business, Washington State University, Pullman, United States, School of Tourism and Hospitality, University of Johannesburg, Johannesburg, South Africa; Chi, O.H., School of Hospitality Business Management, Carson College of Business, Washington State University, Pullman, United States; Lu, L., Department of Tourism and Hospitality Management, Temple University, 1810 North 13th Street, Speakman Hall 308, Philadelphia, PA  19122-6083, United States; Nunkoo, R., School of Tourism and Hospitality, University of Johannesburg, Johannesburg, South Africa, Department of Management, University of Mauritius, Reduit, Mauritius, Griffith Institute for Tourism, Griffith University, Gold Coast, Australia","This study develops and empirically tests a theoretical model of artificially intelligent (AI) device use acceptance (AIDUA) that aims to explain customers’ willingness to accept AI device use in service encounters. The proposed model incorporates three acceptance generation stages (primary appraisal, secondary appraisal, and outcome stage) and six antecedents (social influence, hedonic motivation, anthropomorphism, performance expectancy, effort expectancy, and emotion). Utilizing data collected from potential customers, the proposed AIDUA model is tested. Findings suggest that customers go through a three-step acceptance generation process in determining whether to accept the use of AI devices during their service interactions. Findings indicate that social influence and hedonic motivation are positively related to performance expectancy while anthropomorphism is positively related to effort expectancy. Both performance and effort expectancy are significant antecedents of customer emotions, which determines customers’ acceptance of AI device use in service encounters. This study provides a conceptual AI device acceptance framework that can be used by other researchers to better investigate AI related topics in the service context. © 2019 Elsevier Ltd","Adoption; AI devices; Artificial intelligence; Intention; Services; Technology","Artificial intelligence; Economic and social effects; Motivation; Sales; Adoption; Hedonic motivations; Intention; Potential customers; Service interaction; Services; Theoretical modeling; Willingness to accept; Acceptance tests",Article,"Final","",Scopus,2-s2.0-85063957555
"Urbano D., Aparicio S., Audretsch D.","23490718900;56548377700;7006423146;","Twenty-five years of research on institutions, entrepreneurship, and economic growth: what has been learned?",2019,"Small Business Economics","53","1",,"21","49",,202,"10.1007/s11187-018-0038-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045282653&doi=10.1007%2fs11187-018-0038-0&partnerID=40&md5=66836b646fcc7708191a01162924c136","Department of Business, Universitat Autònoma de Barcelona, Edifici B, Campus UAB, Bellaterra, Barcelona, 08913, Spain; Durham University Business School, Durham University, Mill Hill Lane, Durham, DH1 3LB, United Kingdom; Institute for Development Strategies, School of Public and Environmental Affairs, Indiana University, 1315 East 10th Street, SPEA Room 201, Bloomington, IN  47405, United States","Urbano, D., Department of Business, Universitat Autònoma de Barcelona, Edifici B, Campus UAB, Bellaterra, Barcelona, 08913, Spain; Aparicio, S., Durham University Business School, Durham University, Mill Hill Lane, Durham, DH1 3LB, United Kingdom; Audretsch, D., Institute for Development Strategies, School of Public and Environmental Affairs, Indiana University, 1315 East 10th Street, SPEA Room 201, Bloomington, IN  47405, United States","This paper analyzes an emergent stream of research shedding light on the institutional factors shaping entrepreneurial activity and its effect on economic growth. This integrative analysis spanning a broad spectrum of diverse literature enables a distinction between two different research lines in the field of entrepreneurship. The findings of this study, based on articles from the journals included in the Web of Science database, facilitate a broader comprehension of two separate lines of research, which allows an analysis of the interaction among institutions, entrepreneurship, and economic growth. The systematic literature analysis over the last 25 years (1992–2016) of research reveals that institutions could be related to economic growth through entrepreneurship, which would open new research questions about what institutional factors are conducive to entrepreneurship, which in turn spurs economic growth. Thus, not only is understanding both complex relationships and their possible sequence useful for planning strategies and public policies, but it is also helpful for advancing and providing new insights in these research fields, which could be complementary and interdisciplinary. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Economic development; Economic growth; Entrepreneurship; Formal and informal institutions; Institutional approach; Systematic literature analysis",,Article,"Final","",Scopus,2-s2.0-85045282653
"Mi X., Tang M., Liao H., Shen W., Lev B.","57200183917;57200242963;55580964700;55599360800;24547227000;","The state-of-the-art survey on integrations and applications of the best worst method in decision making: Why, what, what for and what's next?",2019,"Omega (United Kingdom)","87",,,"205","225",,198,"10.1016/j.omega.2019.01.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061718369&doi=10.1016%2fj.omega.2019.01.009&partnerID=40&md5=bc900ac1354de1bc461725fe40b0cfd9","Business School, Sichuan University, Chengdu, Sichuan  610064, China; Decision Sciences Department, LeBow College of Business, Drexel University, Philadelphia, PA  19104, United States","Mi, X., Business School, Sichuan University, Chengdu, Sichuan  610064, China; Tang, M., Business School, Sichuan University, Chengdu, Sichuan  610064, China; Liao, H., Business School, Sichuan University, Chengdu, Sichuan  610064, China; Shen, W., Decision Sciences Department, LeBow College of Business, Drexel University, Philadelphia, PA  19104, United States; Lev, B., Decision Sciences Department, LeBow College of Business, Drexel University, Philadelphia, PA  19104, United States","After the first paper regarding the Best Worst Method (BWM) was published in Omega in 2015 (J. Rezaei, Best-worst multi-criteria decision-making method, Omega 53 (2015) 49–57), it has attracted many scholars’ attention due to the efficiency of this method in reducing the times of pairwise comparisons and the good performance in maintaining consistency between judgments. Lots of researches related to this method have been published over the past several years. This paper concentrates on the state-of-the-art survey of the BWM based on the in-depth analysis over the publications concerning this method published from 2015 to 26th, January 2019. This paper intends to answer five questions about the BWM: (1) How does this method perform in bibliometric analysis? (2) Why to propose this method and what is it? (3) Which integrations that the BWM were focused on and which areas did they apply to? (4) What extensions of this method were investigated? (5) What are the challenges and future research directions regarding this method? In view of the fact that the research on this method is still in infancy, this paper has guiding significance for the later research related to the BWM. From the theoretical point of view, the reasonable value of consistency ratio, the inconsistency improving methods, the uncertain extensions of the BWM and the techniques for solving multi-optimality model in the BWM are good research issues that need to be further investigated in the future. From the perspective of application, the software packages for this method, the various integrations of this method, the wider application areas, and the international cooperation on this method are good topics to consider. © 2019 Elsevier Ltd","Best worst method; Bibliometric analysis; Consistency; Multiple criteria decision making; Pairwise comparisons; Survey","article; decision making; infancy; international cooperation; publication; software; theoretical study",Article,"Final","",Scopus,2-s2.0-85061718369
"Jabbour C.J.C., Jabbour A.B.L.D.S., Sarkis J., Filho M.G.","15757819200;54977014200;57194726123;26429368200;","Unlocking the circular economy through new business models based on large-scale data: An integrative framework and research agenda",2019,"Technological Forecasting and Social Change","144",,,"546","552",,194,"10.1016/j.techfore.2017.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029690218&doi=10.1016%2fj.techfore.2017.09.010&partnerID=40&md5=70e15ecace962eeb8e37fdbcb4f4889b","Montpellier Business School, Montpellier Research in Management, 2300, Avenue des Moulins, Montpellier, Cédex 4, 34185, France; Foisie Business School, Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA  01609-2280, United States; UFSCar - Federal University of São Carlos, Department of Industrial Engineering, Rodovia Washington Luiz Km 235, São Carlos, CEP 13565-905, Brazil","Jabbour, C.J.C., Montpellier Business School, Montpellier Research in Management, 2300, Avenue des Moulins, Montpellier, Cédex 4, 34185, France; Jabbour, A.B.L.D.S., Montpellier Business School, Montpellier Research in Management, 2300, Avenue des Moulins, Montpellier, Cédex 4, 34185, France; Sarkis, J., Foisie Business School, Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA  01609-2280, United States; Filho, M.G., UFSCar - Federal University of São Carlos, Department of Industrial Engineering, Rodovia Washington Luiz Km 235, São Carlos, CEP 13565-905, Brazil","This work makes the case for the integration of the circular economy (CE)and large-scale data (LD), also known as big data. The paper is one of the first to integrate conceptual and practical trends regarding: (a)the ReSOLVE based models of the circular economy; (b)key stakeholders roles in pursuing a more sustainable society; and (c)the volume, velocity, variety, and veracity (4V's)of large-scale data (LD)management. This study's contributions include: (1)introducing a new integrative framework to enhance the understanding of the CE-LD nexus; (2)a relational matrix which illustrates the complexity of large-scale data and stakeholders management; and (3)a research agenda, with clear research propositions and future research direction. The proposed CE-LD integrative framework provides socio-technical insights for academics, practitioners, managers, and policy decision-makers. © 2017 Elsevier Inc.","Big-data; Circular economy; Large-scale data; Smart manufacturing; Stakeholders; Sustainability; Sustainable operations","Decision making; Information management; Sustainable development; Circular economy; Large scale data; Smart manufacturing; Stakeholders; Sustainable operations; Big data; data management; economic system; environmental economics; manufacturing; research program; stakeholder; sustainability",Article,"Final","",Scopus,2-s2.0-85029690218
"Salvia A.L., Leal Filho W., Brandli L.L., Griebeler J.S.","57204534188;57189717187;15925025000;57204529638;","Assessing research trends related to Sustainable Development Goals: local and global issues",2019,"Journal of Cleaner Production","208",,,"841","849",,193,"10.1016/j.jclepro.2018.09.242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055991346&doi=10.1016%2fj.jclepro.2018.09.242&partnerID=40&md5=e0345d269290acd7e9326f21c3a005e1","Graduate Program in Civil and Environmental Engineering, University of Passo Fundo, Passo Fundo/RS, Brazil; Research and Transfer Centre “Sustainability and Climate Change Management”, Hamburg University of Applied Sciences, Hamburg, Germany; Manchester Metropolitan University, Manchester, United Kingdom","Salvia, A.L., Graduate Program in Civil and Environmental Engineering, University of Passo Fundo, Passo Fundo/RS, Brazil; Leal Filho, W., Research and Transfer Centre “Sustainability and Climate Change Management”, Hamburg University of Applied Sciences, Hamburg, Germany, Manchester Metropolitan University, Manchester, United Kingdom; Brandli, L.L., Graduate Program in Civil and Environmental Engineering, University of Passo Fundo, Passo Fundo/RS, Brazil; Griebeler, J.S., Graduate Program in Civil and Environmental Engineering, University of Passo Fundo, Passo Fundo/RS, Brazil","The Sustainable Development Goals agreed by the United Nations in September 2015 comprise 17 goals and 169 targets aimed at integrating matters related to sustainable development into the overall economic, environmental and social frameworks of countries. Whereas the SDGs have a global dimension, their action implementation depends on the level of priority different countries give to them, and on how sustainability issues compete with a country's main problems. The aim of this paper was to identify the main Sustainable Development Goals approached by experts from different geographic regions, according to their experience and research area, and to discuss the relation between these goals and the main local issues and challenges of each region. The methodology starts with snowball sampling to collect information from experts from all geographic regions, through contact networks of universities in different countries. With the information about the goals researched by the participating experts, an analysis of the relation between the study focus and the geographical regions of origin was conducted. A total of 266 specialists from North America, Latin America/Caribbean, Africa, Asia, Europe and Oceania participated in the survey. Based on the sample used, it can be said that there is a relation between the local problems or challenges observed in some regions and the main areas of interest of the surveyed experts, with a general emphasis on the study of goals 4, 11 and 13. Based on the data gathered, the paper presents a set of examples of positive and negative situations in the various regions, and considers the extent to which some Sustainable Development Goals are being pursued by research on a worldwide basis. © 2018 Elsevier Ltd","Agenda 2030; Implementation; SDGs; Sustainability","Geographical regions; Planning; Surveys; Agenda 2030; Contact networks; Global dimension; Implementation; Issues and challenges; SDGs; Sustainability issues; World-wide basis; Sustainable development",Article,"Final","",Scopus,2-s2.0-85055991346
"Arora A., Bansal S., Kandpal C., Aswani R., Dwivedi Y.","36550140000;57200219565;57207952292;57190682139;35239818900;","Measuring social media influencer index- insights from facebook, Twitter and Instagram",2019,"Journal of Retailing and Consumer Services","49",,,"86","101",,184,"10.1016/j.jretconser.2019.03.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063319846&doi=10.1016%2fj.jretconser.2019.03.012&partnerID=40&md5=928981685cb82670ebc39307245a4c78","Jaypee Institute of Information Technology, Noida, India; Exzeo Software Private Limited, India; Indian Institute of Technology Delhi, New Delhi, India; Swansea UniversityWales, United Kingdom","Arora, A., Jaypee Institute of Information Technology, Noida, India; Bansal, S., Exzeo Software Private Limited, India; Kandpal, C., Exzeo Software Private Limited, India; Aswani, R., Indian Institute of Technology Delhi, New Delhi, India; Dwivedi, Y., Swansea UniversityWales, United Kingdom","The growth of social media has completely revamped the way people interact, communicate and engage. These platforms play a key role in facilitating greater outreach and influence. This study proposes a mechanism for measuring the influencer index across popular social media platforms including Facebook, Twitter, and Instagram. A set of features that determine the impact on the consumers are modelled using a regression approach. The underlying machine learning algorithms including Ordinary Least Squares (OLS), K-NN Regression (KNN), Support Vector Regression (SVR), and Lasso Regression models are adapted to compute a cumulative score in terms of influencer index. Findings indicate that engagement, outreach, sentiment, and growth play a key role in determining the influencers. Further, the ensemble of the four models resulted in the highest accuracy of 93.7% followed by the KNN regression with 93.6%. The study has implications across various domains of e-commerce, viral marketing, social media marketing and brand management wherein identification of key information propagators is essential. These influencer indices may further be utilized by e-commerce portals and brands for the purpose of social media promotion and engagement for larger outreach. © 2019 Elsevier Ltd","Influencer; Internet marketing; Regression modelling; Social media analytics","algorithm; Internet; least squares method; machine learning; marketing; numerical model; regression analysis; social media; support vector machine",Article,"Final","",Scopus,2-s2.0-85063319846
"Zheng J., Mi Z., Coffman D.M., Milcheva S., Shan Y., Guan D., Wang S.","57200973818;55272317400;56603101200;55655427100;56015318000;15839411900;35195168500;","Regional development and carbon emissions in China",2019,"Energy Economics","81",,,"25","36",,176,"10.1016/j.eneco.2019.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063395346&doi=10.1016%2fj.eneco.2019.03.003&partnerID=40&md5=0c3aeb169707d85585a9dc072fc57b98","The Bartlett School of Construction and Project Management, University College London, WC1E 7HB, London, United Kingdom; Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing, 100190, China; School of Economics and Management, University of Chinese Academy of Sciences, Beijing, 100190, China; School of International Development, University of East Anglia, Norwich, NR4 7TJ, United Kingdom; Center for Energy and Environmental Policy Research, Beijing Institute of Technology, Beijing, 100081, China","Zheng, J., The Bartlett School of Construction and Project Management, University College London, WC1E 7HB, London, United Kingdom, Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing, 100190, China, School of Economics and Management, University of Chinese Academy of Sciences, Beijing, 100190, China; Mi, Z., The Bartlett School of Construction and Project Management, University College London, WC1E 7HB, London, United Kingdom; Coffman, D.M., The Bartlett School of Construction and Project Management, University College London, WC1E 7HB, London, United Kingdom; Milcheva, S., The Bartlett School of Construction and Project Management, University College London, WC1E 7HB, London, United Kingdom; Shan, Y., School of International Development, University of East Anglia, Norwich, NR4 7TJ, United Kingdom; Guan, D., School of International Development, University of East Anglia, Norwich, NR4 7TJ, United Kingdom, Center for Energy and Environmental Policy Research, Beijing Institute of Technology, Beijing, 100081, China; Wang, S., Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing, 100190, China, School of Economics and Management, University of Chinese Academy of Sciences, Beijing, 100190, China","China announced at the Paris Climate Change Conference in 2015 that the country would reach peak carbon emissions around 2030. Since then, widespread attention has been devoted to determining when and how this goal will be achieved. This study aims to explore the role of China's changing regional development patterns in the achievement of this goal. This study uses the logarithmic mean Divisia index (LMDI) to estimate seven socioeconomic drivers of the changes in CO 2 emissions in China since 2000. The results show that China's carbon emissions have plateaued since 2012 mainly because of energy efficiency gains and structural upgrades (i.e., industrial structure, energy mix and regional structure). Regional structure, measured by provincial economic growth shares, has drastically reduced CO 2 emissions since 2012. The effects of these drivers on emissions changes varied across regions due to their different regional development patterns. Industrial structure and energy mix resulted in emissions growth in some regions, but these two drivers led to emissions reduction at the national level. For example, industrial structure reduced China's CO 2 emissions by 1.0% from 2013 to 2016; however, it increased CO 2 emissions in the Northeast and Northwest regions by 1.7% and 0.9%, respectively. Studying China's plateauing CO 2 emissions in the new normal stage at the regional level yields a strong recommendation that China's regions cooperate to improve development patterns. © 2019 The Authors","China; CO 2 emissions; LMDI; New normal; Regional development; Structural changes","Carbon; Climate change; Economics; Emission control; Energy efficiency; Regional planning; China; CO2 emissions; LMDI; New normal; Regional development; Structural changes; Carbon dioxide; carbon dioxide; carbon emission; economic growth; emission control; energy efficiency; environmental economics; regional development; structural change; China",Article,"Final","",Scopus,2-s2.0-85063395346
