Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Huang M.-H., Rust R.T.","55725698900;7005108007;","Artificial Intelligence in Service",2018,"Journal of Service Research","21","2",,"155","172",,719,"10.1177/1094670517752459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041406987&doi=10.1177%2f1094670517752459&partnerID=40&md5=8976ab64c2f47e5c149dacfb64f7488f","Department of Information Management, College of Management, National Taiwan University, Taipei, Taiwan; University of Maryland, College Park, MD, United States","Huang, M.-H., Department of Information Management, College of Management, National Taiwan University, Taipei, Taiwan; Rust, R.T., University of Maryland, College Park, MD, United States","Artificial intelligence (AI) is increasingly reshaping service by performing various tasks, constituting a major source of innovation, yet threatening human jobs. We develop a theory of AI job replacement to address this double-edged impact. The theory specifies four intelligences required for service tasks—mechanical, analytical, intuitive, and empathetic—and lays out the way firms should decide between humans and machines for accomplishing those tasks. AI is developing in a predictable order, with mechanical mostly preceding analytical, analytical mostly preceding intuitive, and intuitive mostly preceding empathetic intelligence. The theory asserts that AI job replacement occurs fundamentally at the task level, rather than the job level, and for “lower” (easier for AI) intelligence tasks first. AI first replaces some of a service job’s tasks, a transition stage seen as augmentation, and then progresses to replace human labor entirely when it has the ability to take over all of a job’s tasks. The progression of AI task replacement from lower to higher intelligences results in predictable shifts over time in the relative importance of the intelligences for service employees. An important implication from our theory is that analytical skills will become less important, as AI takes over more analytical tasks, giving the “softer” intuitive and empathetic skills even more importance for service employees. Eventually, AI will be capable of performing even the intuitive and empathetic tasks, which enables innovative ways of human–machine integration for providing service but also results in a fundamental threat for human employment. © 2018, © The Author(s) 2018.","analytical intelligence; artificial intelligence; automation; economics; empathetic intelligence; human intelligence; human resources; intuitive intelligence; machine learning; mechanical intelligence; replacement; robots; service strategy; singularity",,Article,"Final","",Scopus,2-s2.0-85041406987
"Emrouznejad A., Yang G.-L.","6603504583;37060201100;","A survey and analysis of the first 40 years of scholarly literature in DEA: 1978–2016",2018,"Socio-Economic Planning Sciences","61",,,"4","8",,596,"10.1016/j.seps.2017.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013083057&doi=10.1016%2fj.seps.2017.01.008&partnerID=40&md5=a7ba11251279ed444dcc58ed95fc36a2","Aston Business School, Aston University, Birmingham, United Kingdom; Institute of Policy and Management, Chinese Academy of Sciences, Beijing, 100190, China","Emrouznejad, A., Aston Business School, Aston University, Birmingham, United Kingdom; Yang, G.-L., Institute of Policy and Management, Chinese Academy of Sciences, Beijing, 100190, China","In recent years there has been an exponential growth in the number of publications related to theory and applications of Data Envelopment Analysis (DEA). Charnes, Cooper, and Rhodes (1978) introduced DEA as a tool for measuring efficiency and productivity of decision making units. DEA has immediately been recognized as a modern tool for performance measurement. Since then, a large and considerable amount of articles has been appeared, including significant breakthroughs in theory and a great portion of works on DEA applications, both public and private sectors, to assess the efficiency and productivity of their activities. Although there have been several bibliographic collections reported, a comprehensive analysis and listing of DEA-related articles covering its first four decades of history is still missing. This paper, thus, aims to report an extensive listing of DEA-related articles including theory and methodology developments and “real” applications in diversified scenarios from 1978 to end of 2016. Some summary statistics of the publications' growth, the most utilized academic journals, authorship analysis, as well as keywords analysis are also provided. © 2017 The Authors","Bibliography; Data envelopment analysis; Efficiency and productivity; Survey","bibliography; data envelopment analysis; decision making; efficiency measurement; literature review; productivity; survey method",Article,"Final","",Scopus,2-s2.0-85013083057
"Shahbaz M., Nasir M.A., Roubaud D.","57218886081;34870351900;56046754600;","Environmental degradation in France: The effects of FDI, financial development, and energy innovations",2018,"Energy Economics","74",,,"843","857",,458,"10.1016/j.eneco.2018.07.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051136715&doi=10.1016%2fj.eneco.2018.07.020&partnerID=40&md5=bf9aa522806b71f1c9933c90c2fd4516","Montpellier Business School, France; Leeds Business School, Leeds Beckett University, United Kingdom","Shahbaz, M., Montpellier Business School, France; Nasir, M.A., Leeds Business School, Leeds Beckett University, United Kingdom; Roubaud, D., Montpellier Business School, France","This paper explores the determinants of carbon emissions in France by accounting for the significant role played by foreign direct investment (FDI), financial development, economic growth, energy consumption and energy research innovations in influencing CO2 emissions function. In this endeavour, we employ the novel SOR (Shahbaz et al. 2017) unit root test on French time series data over the period 1955–2016 to examine the order of integration in the presence of sharp and smooth structural breaks in the variables. We also apply the bootstrapping bounds testing approach, recently developed by McNown et al. (2018), to investigate the presence of cointegration and the empirical findings underscore the presence of cointegration among the time series. Moreover, we find that FDI has a positive impact, while energy research innovations have a negative impact, on French carbon emissions. Financial development lowers carbon emissions, thereby improving the French environmental quality. FDI degrades the environment, and thus supports the pollution-haven hypothesis in France. Similarly, financial development suggests that financial stability is a required condition for improving environmental quality, so are energy research innovations. Contrarily, energy consumption is positively linked with carbon emissions. However, the relationship between economic growth and CO2 emissions is an inverted-U, which is a validation of the environmental Kuznets curve (EKC). © 2018 Elsevier B.V.","Carbon emissions; Energy research innovations; FDI; Financial development","Carbon; Carbon dioxide; Economics; Energy utilization; Investments; Time series; Bounds testing approaches; Carbon emissions; Energy research; Environmental Kuznets curves; Environmental quality; Financial development; Foreign direct investments; Pollution haven hypothesis; Economic and social effects; carbon dioxide; carbon emission; economic growth; environmental degradation; environmental economics; financial system; foreign direct investment; innovation; Kuznets curve; time series; France",Article,"Final","",Scopus,2-s2.0-85051136715
"Li L.","55760654300;","China's manufacturing locus in 2025: With a comparison of “Made-in-China 2025” and “Industry 4.0”",2018,"Technological Forecasting and Social Change","135",,,"66","74",,432,"10.1016/j.techfore.2017.05.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020267564&doi=10.1016%2fj.techfore.2017.05.028&partnerID=40&md5=850b875971e78624aa0dd21a1f2e0dae","Old Dominion University, Norfolk, VA  23454, United States","Li, L., Old Dominion University, Norfolk, VA  23454, United States","In this study, we have compared Germany's “Industry 4.0” and China's “Made-in-China 2025” and estimated China's locus in “Made-in-China 2025”. “Made-in-China 2025” has clear goals, measures and sector focus. Its guiding principles are to enhance industrial capability through innovation-driven manufacturing, optimize the structure of Chinese industry, emphasize quality over quantity, train and attract talent, and achieve green manufacturing and environment. Data show that currently China is no longer the lowest–cost labor market; it is being squeezed by newly emerging low-cost producers such as Vietnam, Cambodia, and Laos. Meanwhile, China is not the strongest player in the high-tech arena; well-established industrialized nations, the US, Germany, and Japan, have all effectively deployed digital technology to create new industrial environments, produce new products, and improve their well-established brands. Having analyzed the data from the World Bank and China's National Bureau of Statistics, we find an upward trajectory in China in manufacturing capability development, research and development commitment, and human capital investment. However, implementing an ambitious strategic plan such as “Made-in-China 2025” is coupled with challenges. This research helps us understand the relationship between technological entrepreneurship and socio-economic changes in emerging economies such as China. Furthermore, the experience accumulated in China can be referenced by both emerging economies and developed nations to advance their technological entrepreneurship. © 2017 Elsevier Inc.","Collaborative robots; Cyber-physical systems (CPS); Emerging economy; Human capital; Industry 4.0; Internet of Things (IoT); Made-in-China 2025; Manufacturing capability; R&D; Smart factory","Embedded systems; Industrial research; Industry 4.0; Internet of things; Investments; Collaborative robots; Cyber-Physical System (CPS); Emerging economies; Human capitals; Internet of Things (IOT); Made in China; Manufacturing capability; Industrial economics; algorithm; automation; comparative study; human capital; manufacturing; research and development; robotics; China; Germany",Article,"Final","",Scopus,2-s2.0-85020267564
"Dong Y., Zha Q., Zhang H., Kou G., Fujita H., Chiclana F., Herrera-Viedma E.","23392045600;57202873778;55888831300;57068290300;35611951900;9134178600;7004240703;","Consensus reaching in social network group decision making: Research paradigms and challenges",2018,"Knowledge-Based Systems","162",,,"3","13",,303,"10.1016/j.knosys.2018.06.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049619965&doi=10.1016%2fj.knosys.2018.06.036&partnerID=40&md5=acc63b8256d8ac84dcb9f3be828c7342","Business School, Sichuan University, Chengdu, 610065, China; Business School, Hohai University, Nanjing, 211100, China; School of Business Administration, Southwestern University of Finance and Economics, Chengdu, 611130, China; Faculty of Software and Information Science, Iwate Prefectural University, Iwate, Japan; Centre for Computational Intelligence, Faculty of Technology, De Montfort University, Leicester, United Kingdom; Department of Computer Science and Artificial Intelligence, University of Granada, Granada, 18071, Spain; Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah, 21589, Saudi Arabia","Dong, Y., Business School, Sichuan University, Chengdu, 610065, China; Zha, Q., Business School, Sichuan University, Chengdu, 610065, China; Zhang, H., Business School, Hohai University, Nanjing, 211100, China; Kou, G., School of Business Administration, Southwestern University of Finance and Economics, Chengdu, 611130, China; Fujita, H., Faculty of Software and Information Science, Iwate Prefectural University, Iwate, Japan; Chiclana, F., Centre for Computational Intelligence, Faculty of Technology, De Montfort University, Leicester, United Kingdom; Herrera-Viedma, E., Department of Computer Science and Artificial Intelligence, University of Granada, Granada, 18071, Spain, Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah, 21589, Saudi Arabia","In social network group decision making (SNGDM), the consensus reaching process (CRP) is used to help decision makers with social relationships reach consensus. Many CRP studies have been conducted in SNGDM until now. This paper provides a review of CRPs in SNGDM, and as a result it classifies them into two paradigms: (i) the CRP paradigm based on trust relationships, and (ii) the CRP paradigm based on opinion evolution. Furthermore, identified research challenges are put forward to advance this area of research. © 2018","Consensus; Group decision making; Opinion evolution; Social network","Artificial intelligence; Knowledge based systems; Social networking (online); Software engineering; Consensus; Decision makers; Group Decision Making; Opinion evolution; Research challenges; Social relationships; Trust relationship; Decision making",Article,"Final","",Scopus,2-s2.0-85049619965
"Kamboj S., Sarmah B., Gupta S., Dwivedi Y.","56938284200;57188671192;55851943244;35239818900;","Examining branding co-creation in brand communities on social media: Applying the paradigm of Stimulus-Organism-Response",2018,"International Journal of Information Management","39",,,"169","185",,277,"10.1016/j.ijinfomgt.2017.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038821331&doi=10.1016%2fj.ijinfomgt.2017.12.001&partnerID=40&md5=8fdb73adda3cd0ae9364308897a1b4b8","Amity University, Noida, India; North-Eastern Regional Institute of Science & TechnologyArunachal Pradesh, India; Montpellier Research in Management Montpellier Business School, 2300 Avenue des Moulins, Montpellier, 34080, France; School of Management, Swansea University, United Kingdom","Kamboj, S., Amity University, Noida, India; Sarmah, B., North-Eastern Regional Institute of Science & TechnologyArunachal Pradesh, India; Gupta, S., Montpellier Research in Management Montpellier Business School, 2300 Avenue des Moulins, Montpellier, 34080, France; Dwivedi, Y., School of Management, Swansea University, United Kingdom","This paper examines the antecedents of branding co-creation that include social networking sites’(SNSs) participation motivations,customer participation, brand trust and brand loyalty in social media brand communities by applying the “Stimulus-Organism-Response paradigm”. The survey method was used to gather data from 407 social media users. Data were analysed using structural equation modeling techniques. The findings reveal that SNSs’ participation motivations positively influence customer participation, which in turn significantly affects brand trust and brand loyalty. Consequently, both brand trust and brand loyalty positively influence branding co-creation in brand communities on social media. Furthermore, brand trust contributes as a mediator between customer participation and brand loyalty on social media brand communities. Although studies on relationships examined through the lens of the Stimulus-Organism-Response paradigm are popular, to the authors’ surprise there is scant literature examining the relationships between SNSs’ participation motivations, customer participation in social media brand communities, brand trust, brand loyalty and branding co-creation. © 2017 Elsevier Ltd","Brand loyalty; Brand trust; Branding co-creation; Customer participation; Motivations; Online brand communities; Social media; Social networking sites","Biology; Consumer behavior; Motivation; Sales; Brand loyalty; Brand trust; Co-creation; Customer participation; Social media; Social networking sites; Social networking (online)",Article,"Final","",Scopus,2-s2.0-85038821331
"Dong K., Hochman G., Zhang Y., Sun R., Li H., Liao H.","57189246704;24472823500;57203685955;35280861800;57060920000;55222159400;","CO2 emissions, economic and population growth, and renewable energy: Empirical evidence across regions",2018,"Energy Economics","75",,,"180","192",,275,"10.1016/j.eneco.2018.08.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052636664&doi=10.1016%2fj.eneco.2018.08.017&partnerID=40&md5=d87cc3361b78b5318c5b37f5c80507f0","School of Business Administration, China University of Petroleum-Beijing, Beijing, 102249, China; Department of Agricultural, Food and Resource Economics, Rutgers, The State University of New JerseyNJ  08901, United States; Department of Finance, China Sports Lottery Technology Group, Beijing, 10002, China; China State Key Laboratory of Heavy Oil Processing, China University of Petroleum-Beijing, Beijing, 102249, China; School of Management and Economics, Beijing Institute of Technology, Beijing, 100081, China","Dong, K., School of Business Administration, China University of Petroleum-Beijing, Beijing, 102249, China, Department of Agricultural, Food and Resource Economics, Rutgers, The State University of New JerseyNJ  08901, United States; Hochman, G., Department of Agricultural, Food and Resource Economics, Rutgers, The State University of New JerseyNJ  08901, United States; Zhang, Y., Department of Finance, China Sports Lottery Technology Group, Beijing, 10002, China; Sun, R., School of Business Administration, China University of Petroleum-Beijing, Beijing, 102249, China, China State Key Laboratory of Heavy Oil Processing, China University of Petroleum-Beijing, Beijing, 102249, China; Li, H., School of Management and Economics, Beijing Institute of Technology, Beijing, 100081, China; Liao, H., School of Management and Economics, Beijing Institute of Technology, Beijing, 100081, China","This study empirically investigates the nexus among carbon dioxide (CO2) emissions, economic and population growth, and renewable energy across regions. To do so, an unbalanced panel dataset of 128 countries over the period 1990–2014 is utilized. Considering the cross-sectional dependence and slope homogeneity observed in the panel, a series of econometric techniques allowing for cross-sectional dependence and slope homogeneity is employed. The results of cross-sectional dependence and slope homogeneity tests confirm the existence of significant cross-sectional dependence and heterogeneity. The empirical results of the common correlated effects mean group (CCEMG) estimator indicate that, at both the global and regional levels, population size and economic growth positively and significantly influence CO2 emission levels. Furthermore, although increased renewable energy intensity leads to a decline in CO2 emissions for all of the six regions, its coefficient in S. &amp; Cent. America and Europe &amp; Eurasia is considerably higher than the levels seen in other regions, which may be affected by the proportion of renewable energy in the primary energy mix. Finally, the results of panel causality testing provide evidence of varied causality links among the variables across regions. © 2018 Elsevier B.V.","CO2 emissions; Panel data model; Regional analysis; Renewable energy","Carbon dioxide; Economic analysis; Regional planning; Carbon dioxide emissions; CO2 emissions; Cross sectional dependence; Panel data models; Population growth; Primary energy mix; Regional analysis; Renewable energies; Population statistics; alternative energy; carbon dioxide; carbon emission; data set; econometrics; economic growth; homogeneity; panel data; population growth; Central America; Eurasia; Europe",Article,"Final","",Scopus,2-s2.0-85052636664
"Mazzucato M., Semieniuk G.","7003892124;55824464600;","Financing renewable energy: Who is financing what and why it matters",2018,"Technological Forecasting and Social Change","127",,,"8","22",,247,"10.1016/j.techfore.2017.05.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020310123&doi=10.1016%2fj.techfore.2017.05.021&partnerID=40&md5=783a5c97f6831182e7386f1a540c4826","Institute for Innovation and Public Purpose, The Bartlett, UCL, United Kingdom; Department of Economics, SOAS University of London, United Kingdom","Mazzucato, M., Institute for Innovation and Public Purpose, The Bartlett, UCL, United Kingdom; Semieniuk, G., Department of Economics, SOAS University of London, United Kingdom","Successful financing of innovation in renewable energy (RE) requires a better understanding of the relationship between different types of finance and their willingness to invest in RE. We study the ‘direction’ of innovation that financial actors create. Focusing on the deployment phase of innovation, we use Bloomberg New Energy Finance (BNEF) data to construct a global dataset of RE asset finance flows from 2004 to 2014. We analyze the asset portfolios of different RE technologies financed by different financial actors according to their size, skew and level of risk. We use entropy-based indices to measure skew, and construct a heuristic index of risk that varies with the technology, time, and country of investment to measure risk. We start by comparing the behavior of private and public types of finance and then disaggregate further along 11 different financial actors (e.g. private banks, public banks, and utilities) and 11 types of RE technologies that are invested in (e.g. different kinds of power generation from solar radiation, wind or biomass). Financial actors vary considerably in the composition of their investment portfolio, creating directions towards particular technologies. Public financial actors invest in portfolios with higher risk technologies, also creating a direction; they also increased their share in total investment dramatically over time. We use these preliminary results to formulate new research questions about how finance affects the directionality of innovation, and the implications for RE policies. © 2017 The Authors","Deployment; Direction of innovation; Financial actors; Portfolio approach; Renewable energy finance; Technology risk","Finance; Risk assessment; Deployment; Financial actors; Portfolio approach; Renewable energies; Technology risks; Investments; alternative energy; data set; finance; innovation; investment; renewable resource; risk factor",Article,"Final","",Scopus,2-s2.0-85020310123
"Bell D.R., Gallino S., Moreno A.","35486684800;56202003100;56201914500;","Offline showrooms in omnichannel retail: Demand and operational benefits",2018,"Management Science","64","4",,"1629","1651",,243,"10.1287/mnsc.2016.2684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045207114&doi=10.1287%2fmnsc.2016.2684&partnerID=40&md5=ea79ce64e47545419ed9dc99d023a515","Marketing Department, Wharton School, University of Pennsylvania, Philadelphia, PA  19104, United States; Tuck School of Business, Dartmouth College, Hanover, NH  03755, United States; Kellogg School of Management, Northwestern University, Evanston, IL  60208, United States","Bell, D.R., Marketing Department, Wharton School, University of Pennsylvania, Philadelphia, PA  19104, United States; Gallino, S., Tuck School of Business, Dartmouth College, Hanover, NH  03755, United States; Moreno, A., Kellogg School of Management, Northwestern University, Evanston, IL  60208, United States","Omnichannel environments where customers shop online and offline at the same retailer are ubiquitous, and are deployed by online-first and traditional retailers alike. We focus on the relatively understudied domain of online-first retailers and the engagement of a key omnichannel tactic; specifically, introduction of showrooms (physical locations where customers can view and try products) in combination with online fulfillment that uses centralized inventory management. We ask whether, and if so, how, showrooms benefit the two most basic retail objectives: demand generation and operational efficiency. Using quasi-experimental data on showroom openings by WarbyParker.com, the leading and iconic online-first eyewear retailer, we find that showrooms: (1) increase demand overall and in the online channel as well; (2) generate operational spillovers to the other channels by attracting customers who, on average, have a higher cost-to-serve; (3) improve overall operational efficiency by increasing conversion in a sampling channel and by decreasing returns; and (4) amplify these demand and operational benefits in dealing with customers who have the most acute need for the firm's products. Moreover, the effects we document strengthen with time as showrooms contribute not only to brand awareness but also to what we term channel awareness as well.We conclude by elaborating the underlying customer dynamics driving our findings and by offering implications for how online-first retailers might deploy omnichannel tactics. © 2017 INFORMS.","Experience attributes; Marketing-operations interface; Omnichannel retailing; Quasi-experimental methods; Retail operations; Showrooms","Costs; Efficiency; Inventory control; Experience attributes; Experimental methods; Marketing-operations interfaces; Omnichannel retailing; Retail operations; Showrooms; Sales",Article,"Final","",Scopus,2-s2.0-85045207114
"Syam N., Sharma A.","10042514400;55482786000;","Waiting for a sales renaissance in the fourth industrial revolution: Machine learning and artificial intelligence in sales research and practice",2018,"Industrial Marketing Management","69",,,"135","146",,223,"10.1016/j.indmarman.2017.12.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040526955&doi=10.1016%2fj.indmarman.2017.12.019&partnerID=40&md5=e9a4949dc5087995eb41057905b55845","University of Missouri-Columbia, Trulaske College of Business, Room No. 431, Cornell Hall, Columbia, MO  65211-0001, United States; University of Miami, School of Business Administration, P.O. Box 248027, Coral Gables, FL  33124-6520, United States","Syam, N., University of Missouri-Columbia, Trulaske College of Business, Room No. 431, Cornell Hall, Columbia, MO  65211-0001, United States; Sharma, A., University of Miami, School of Business Administration, P.O. Box 248027, Coral Gables, FL  33124-6520, United States","Experts have suggested that the next few decades will herald the fourth industrial revolution. The fourth industrial revolution will be powered by digitization, information and communications technology, machine learning, robotics and artificial intelligence; and will shift more decision-making from humans to machines. The ensuing societal changes will have a profound impact on both personal selling and sales management research and practices. In this article, we focus on machine learning and artificial intelligence (AI) and their impact on personal selling and sales management. We examine that impact on a small area of sales practice and research based on the seven steps of the selling process. Implications for theory and practice are derived. © 2018 Elsevier Inc.","Artificial intelligence; Machine learning; Sales; Sales process; Sales renaissance",,Article,"Final","",Scopus,2-s2.0-85040526955
