Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Kamble S.S., Gunasekaran A., Sharma R.","36864045000;56238759300;57196545771;","Modeling the blockchain enabled traceability in agriculture supply chain",2020,"International Journal of Information Management","52",,"101967","","",,279,"10.1016/j.ijinfomgt.2019.05.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067237938&doi=10.1016%2fj.ijinfomgt.2019.05.023&partnerID=40&md5=26e020c084ef0d23804ebd227ee30507","Operations and Supply Chain Management, National Institute of Industrial Engineering (NITIE), Mumbai, 400087, India; School of Business and Public Administration, California State University, 9001 Stockdale Highway, 20BDC/140, Bakersfield, CA  93311-1022, United States","Kamble, S.S., Operations and Supply Chain Management, National Institute of Industrial Engineering (NITIE), Mumbai, 400087, India; Gunasekaran, A., School of Business and Public Administration, California State University, 9001 Stockdale Highway, 20BDC/140, Bakersfield, CA  93311-1022, United States; Sharma, R., Operations and Supply Chain Management, National Institute of Industrial Engineering (NITIE), Mumbai, 400087, India","Blockchain Technology (BT) has led to a disruption in the supply chain by removing the trust related issues. Studies are being conducted worldwide to leverage the benefits provided by BT in improving the performance of the supply chains. The literature reveals BT to offer various benefits leading to improvements in the sustainable performance of the agriculture supply chains (ASC). It is expected that BT will bring a paradigm shift in the way the transactions are carried in the ASC by reducing the high number of intermediaries, delayed payments and high transaction lead times. India, a developing economy, caters to the food security needs of an ever-growing population and faces many challenges affecting ASC sustainability. It is therefore essential to adopt BT in the ASC to leverage the various benefits. In this study, we identify and establish the relationships between the enablers of BT adoption in ASC. Thirteen enablers were identified from the literature and validated by the experts before applying a combined Interpretive Structural Modelling (ISM) and Decision-Making Trial and Evaluation Laboratory (DEMATEL) methodology to envision the complex causal relationships between the identified BT enablers. The findings from the study suggest that, among the identified enablers, traceability was the most significant reason for BT implementation in ASC followed by auditability, immutability, and provenance. The findings of the study will help the practitioners to design the strategies for BT implementation in agriculture, creating a real-time data-driven ASC. The results will also help the policymakers in developing policies for faster implementation of BT ensuring food safety and sustainable ASCs. © 2019 Elsevier Ltd","Agriculture supply chain; Blockchain technology; DEMATEL; ISM; Sustainability; Traceability; Transparency","Agriculture; Decision making; Food supply; Supply chains; Sustainable development; Transparency; Causal relationships; Decision making trial and evaluation laboratories; DEMATEL; Developing economies; Faster implementation; Interpretive structural modelling (ISM); Sustainable performance; Traceability; Blockchain",Article,"Final","",Scopus,2-s2.0-85067237938
"Bai C., Dallasega P., Orzes G., Sarkis J.","24485581400;56278248300;55865758300;57194726123;","Industry 4.0 technologies assessment: A sustainability perspective",2020,"International Journal of Production Economics","229",,"107776","","",,252,"10.1016/j.ijpe.2020.107776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084572031&doi=10.1016%2fj.ijpe.2020.107776&partnerID=40&md5=3653cd517db91e4a97bc679b2e897a68","School of Management and Economics, University of Electronic Science and Technology of China, No. 2006, Xiyuan Ave, West Hi-Tech Zone, Chengdu, 611731, China; Faculty of Science and Technology, Free University of Bozen-Bolzano, Piazza Università 5, Bolzano, 39100, Italy; Foisie Business School, Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA  01609-2280, United States; The Humlog Institute, Hanken School of Economics, Helsinki, Finland","Bai, C., School of Management and Economics, University of Electronic Science and Technology of China, No. 2006, Xiyuan Ave, West Hi-Tech Zone, Chengdu, 611731, China; Dallasega, P., Faculty of Science and Technology, Free University of Bozen-Bolzano, Piazza Università 5, Bolzano, 39100, Italy; Orzes, G., Faculty of Science and Technology, Free University of Bozen-Bolzano, Piazza Università 5, Bolzano, 39100, Italy; Sarkis, J., Foisie Business School, Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA  01609-2280, United States, The Humlog Institute, Hanken School of Economics, Helsinki, Finland","The fourth industrial revolution, also labelled Industry 4.0, was beget with emergent and disruptive intelligence and information technologies. These new technologies are enabling ever-higher levels of production efficiencies. They also have the potential to dramatically influence social and environmental sustainable development. Organizations need to consider Industry 4.0 technologies contribution to sustainability. Sufficient guidance, in this respect, is lacking in the scholarly or practitioner literature. In this study, we further examine Industry 4.0 technologies in terms of application and sustainability implications. We introduce a measures framework for sustainability based on the United Nations Sustainable Development Goals; incorporating various economic, environmental and social attributes. We also develop a hybrid multi-situation decision method integrating hesitant fuzzy set, cumulative prospect theory and VIKOR. This method can effectively evaluate Industry 4.0 technologies based on their sustainable performance and application. We apply the method using secondary case information from a report of the World Economic Forum. The results show that mobile technology has the greatest impact on sustainability in all industries, and nanotechnology, mobile technology, simulation and drones have the highest impact on sustainability in the automotive, electronics, food and beverage, and textile, apparel and footwear industries, respectively. Our recommendation is to take advantage of Industry 4.0 technology adoption to improve sustainability impact but each technology needs to be carefully evaluated as specific technology will variably influence industry and sustainability dimensions. Investment in such technologies should consider appropriate priority investment and championing. © 2020 The Authors","Cumulative prospect theory; Hesitant fuzzy set; Industry 4.0; Sustainability; Technology; VIKOR","Automotive industry; Decision theory; Economics; Electronics industry; Industry 4.0; Planning; Shoe manufacture; Telecommunication equipment; Textile industry; Cumulative prospect theory; Industrial revolutions; Production efficiency; Social and environmental; Sustainability dimensions; Sustainability impacts; Sustainable performance; Technology adoption; Sustainable development",Article,"Final","",Scopus,2-s2.0-85084572031
"Currie C.S.M., Fowler J.W., Kotiadis K., Monks T., Onggo B.S., Robertson D.A., Tako A.A.","7004329504;7402371012;14027042600;55335012000;6506726024;56964686800;26031798500;","How simulation modelling can help reduce the impact of COVID-19",2020,"Journal of Simulation","14","2",,"83","97",,188,"10.1080/17477778.2020.1751570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083501108&doi=10.1080%2f17477778.2020.1751570&partnerID=40&md5=c6e651ffdbca3d01bb8953903cb7a0d6","CORMSIS, University of Southampton, Southampton, United Kingdom; W.P, Carey School of Business, Arizona State University, Tempe, AZ, United States; Kent Business School, University of Kent, Canterbury, United Kingdom; University of Exeter Medical School, University of Exeter, Exeter, United Kingdom; School of Business and Economics, Loughborough University, Loughborough, United Kingdom; St Catherine’s College, University of Oxford, Oxford, United Kingdom","Currie, C.S.M., CORMSIS, University of Southampton, Southampton, United Kingdom; Fowler, J.W., W.P, Carey School of Business, Arizona State University, Tempe, AZ, United States; Kotiadis, K., Kent Business School, University of Kent, Canterbury, United Kingdom; Monks, T., University of Exeter Medical School, University of Exeter, Exeter, United Kingdom; Onggo, B.S., CORMSIS, University of Southampton, Southampton, United Kingdom; Robertson, D.A., School of Business and Economics, Loughborough University, Loughborough, United Kingdom, St Catherine’s College, University of Oxford, Oxford, United Kingdom; Tako, A.A., School of Business and Economics, Loughborough University, Loughborough, United Kingdom","Modelling has been used extensively by all national governments and the World Health Organisation in deciding on the best strategies to pursue in mitigating the effects of COVID-19. Principally these have been epidemiological models aimed at understanding the spread of the disease and the impacts of different interventions. But a global pandemic generates a large number of problems and questions, not just those related to disease transmission, and each requires a different model to find the best solution. In this article we identify challenges resulting from the COVID-19 pandemic and discuss how simulation modelling could help to support decision-makers in making the most informed decisions. Modellers should see the article as a call to arms and decision-makers as a guide to what support is available from the simulation community. © 2020, © Operational Research Society 2020.","coronavirus; COVID-19; pandemic; Simulation modelling","Computer simulation; Software engineering; Decision makers; Disease transmission; Epidemiological models; Informed decision; National governments; Decision making",Article,"Final","",Scopus,2-s2.0-85083501108
"Bai C., Sarkis J.","24485581400;57194726123;","A supply chain transparency and sustainability technology appraisal model for blockchain technology",2020,"International Journal of Production Research","58","7",,"2142","2162",,183,"10.1080/00207543.2019.1708989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077845542&doi=10.1080%2f00207543.2019.1708989&partnerID=40&md5=531a6502b7088b4fecd9a4f26b264e1e","School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, China; Foisie School of Business, Worcester Polytechnic Institute, Worcester, MA, United States; Hanken School of Economics, The Humlog Institute, Helsinki, Finland","Bai, C., School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, China; Sarkis, J., Foisie School of Business, Worcester Polytechnic Institute, Worcester, MA, United States, Hanken School of Economics, The Humlog Institute, Helsinki, Finland","Blockchain technology is a technology that can effectively support supply chain transparency. An important initial managerial activity is for organisations in supply chains to evaluate and select the most suitable blockchain technology. However, uncertainty and emphasis on sustainable transparency has made this appraisal more complex. This paper: (1) introduces blockchain technology performance measures incorporating various sustainable supply chain transparency and technical attributes; and (2) introduces a new hybrid group decision method, integrated hesitant fuzzy set and regret theory, for blockchain technology evaluation and selection. This method emphasises decision maker psychological characteristics and variation in decision maker opinions. An illustrative application and sensitivity analysis is introduced to aid supply chain managers and researchers understand the blockchain technology selection decision. Methodological and managerial implications associated with the decision tool and application are introduced. This research sets the foundation for significant future research in blockchain technologies evaluation in a supply chain environment. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.","blockchain technology; hesitant fuzzy set; regret theory; sustainability; transparency","Decision making; Decision theory; Fuzzy set theory; Fuzzy sets; Group theory; Managers; Sensitivity analysis; Supply chains; Sustainable development; Transparency; Managerial implications; Psychological characteristics; Regret theory; Sustainability technology; Sustainable supply chains; Technology evaluation; Technology performance; Technology selection; Blockchain",Article,"Final","",Scopus,2-s2.0-85077845542
"Wamba S.F., Dubey R., Gunasekaran A., Akter S.","14833520200;36991875200;56238759300;36058277700;","The performance effects of big data analytics and supply chain ambidexterity: The moderating effect of environmental dynamism",2020,"International Journal of Production Economics","222",,"107498","","",,174,"10.1016/j.ijpe.2019.09.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073019919&doi=10.1016%2fj.ijpe.2019.09.019&partnerID=40&md5=fb92e84aff78300d0122dab385a91eff","Toulouse Business School, 1 Place Alphonse Jourdain - CS 66810, Cedex 7, Toulouse, 31068, France; School of Business and Public Administration, California State University, Bakersfield, 9001 Stockdale Highway, Bakersfield, CA  93311-1022, United States; School of Management, Operations & Marketing, Faculty of Business, University of WollongongNSW  2522, Australia; Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier, 34185, France","Wamba, S.F., Toulouse Business School, 1 Place Alphonse Jourdain - CS 66810, Cedex 7, Toulouse, 31068, France; Dubey, R., Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier, 34185, France; Gunasekaran, A., School of Business and Public Administration, California State University, Bakersfield, 9001 Stockdale Highway, Bakersfield, CA  93311-1022, United States; Akter, S., School of Management, Operations & Marketing, Faculty of Business, University of WollongongNSW  2522, Australia","The importance of big data analytics–enabled dynamic capability has been at the forefront of research for information systems management, operations management, and strategic management community. Prior studies have reported on the influence of big data analytics–enabled dynamic capability (BDA) for improved organizational agility and organizational performance, but there has been a paucity of literature regarding the role of big data analytics–enabled dynamic capability in untangling the supply chain ambidexterity dilemma and organizational performance. To address these research gaps, this paper draws on the dynamic capability view of the organization under the contingent effect of environmental dynamism. We tested our research hypotheses using 281 surveys, gathered using a pre-tested questionnaire. Our results suggest that BDA has positive effects on improving supply chain agility (SCAG), supply chain adaptability (SCAD) and performance measures (cost performance and operational performance). However, we noted that hypotheses regarding the moderating effect of environmental dynamism (ED) on the paths joining BDA and SCAG/SCAD were not supported. To address these unexpected results, we conducted post hoc analysis to explain the rationale behind the insignificant moderating effects of ED on the paths joining BDA and SCAG/SCAD. We found that the effects of BDA on SCAG/SCAD were higher under intermediate levels of environmental dynamism but comparatively weak when the environmental dynamism is low or high. Hence, we can argue that big data analytics can help enhance supply chain agility, supply chain adaptability, and organizational performance, but these effects are contingent upon the level of environmental dynamism. Moreover, a non-linear, inverse U-shaped moderating effect of environmental dynamism exists. Collectively, these findings provide a theory-based understanding of the organizational level of usage of big data analytics and its effects on supply chain agility, supply chain adaptability, and organizational performance. Moreover, they further shape our understanding of how big data analytics–enabled dynamic capabilities yield differential results under the moderating effect of environmental dynamism. Hence, we believe that our results will be useful for managers who are highly optimistic about the usage of these emerging technologies and their effects on supply chain characteristics. Finally, we have outlined our study limitations and offered numerous research directions. © 2019 Elsevier B.V.","Big data analytics; Dynamic capability; Organizational performance; Supply chain adaptability; Supply chain agility; Supply chain ambidexterity","Advanced Analytics; Big data; Enterprise resource management; Information management; Joining; Supply chains; Surveys; Dynamic capabilities; Emerging technologies; Environmental dynamisms; Operational performance; Organizational agility; Organizational levels; Organizational performance; Supply chain agility; Data Analytics",Article,"Final","",Scopus,2-s2.0-85073019919
"Olsen T.L., Tomlin B.","7201975424;8894885500;","Industry 4.0: Opportunities and challenges for operations management",2020,"Manufacturing and Service Operations Management","22","1",,"113","122",,174,"10.1287/msom.2019.0796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078698806&doi=10.1287%2fmsom.2019.0796&partnerID=40&md5=e98d55423936cbed7b1e98b3e13fbb5e","Department of Information Systems and Operations Management, University of Auckland Business School, Auckland, 1142, New Zealand; Tuck School of Business, Dartmouth College, Hanover, NH  03755, United States","Olsen, T.L., Department of Information Systems and Operations Management, University of Auckland Business School, Auckland, 1142, New Zealand; Tomlin, B., Tuck School of Business, Dartmouth College, Hanover, NH  03755, United States","Industry 4.0 connotes a new industrial revolution centered around cyber-physical systems. It posits that the real-time connection of physical and digital systems, along with new enabling technologies, will change the way that work is done and therefore, how work should be managed. It has the potential to break, or at least change, the traditional operations trade-offs among the competitive priorities of cost, flexibility, speed, and quality. This article describes the technologies inherent in Industry 4.0 and the opportunities and challenges for research in this area. The focus is on goods-producing industries, which includes both the manufacturing and agricultural sectors. Specific technologies discussed include additive manufacturing, the internet of things, blockchain, advanced robotics, and artificial intelligence. © 2019 INFORMS","Additive manufacturing; Artificial intelligence; Blockchain; Internet of things; Robotics","3D printers; Additives; Artificial intelligence; Blockchain; Economic and social effects; Embedded systems; Internet of things; Real time systems; Robotics; Agricultural sector; Competitive priorities; Digital system; Enabling technologies; Industrial revolutions; Operations management; Real-time connections; Trade off; Industry 4.0",Article,"Final","",Scopus,2-s2.0-85078698806
"Sharma R., Kamble S.S., Gunasekaran A., Kumar V., Kumar A.","57196545771;36864045000;56238759300;36835614000;57001679600;","A systematic literature review on machine learning applications for sustainable agriculture supply chain performance",2020,"Computers and Operations Research","119",,"104926","","",,166,"10.1016/j.cor.2020.104926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082019942&doi=10.1016%2fj.cor.2020.104926&partnerID=40&md5=8f69de84d8039dd8ba0faedf967f8d8f","Operations and SCM, National Institute of Industrial Engineering (NITIE), Mumbai, 400087, India; Operations and Supply Chain Management, National Institute of Industrial Engineering (NITIE), Mumbai, 400087, India; School of Business and Public Administration, California State University, Bakersfield, 9001 Stockdale Highway, 20BDC/140, Bakersfield, CA  93311-1022, United States; Operations and Supply Chain Management, Bristol Business School, University of the West of England, United Kingdom; Decision Sciences, Centre for Supply Chain Improvement, University of Derby, United Kingdom","Sharma, R., Operations and SCM, National Institute of Industrial Engineering (NITIE), Mumbai, 400087, India; Kamble, S.S., Operations and Supply Chain Management, National Institute of Industrial Engineering (NITIE), Mumbai, 400087, India; Gunasekaran, A., School of Business and Public Administration, California State University, Bakersfield, 9001 Stockdale Highway, 20BDC/140, Bakersfield, CA  93311-1022, United States; Kumar, V., Operations and Supply Chain Management, Bristol Business School, University of the West of England, United Kingdom; Kumar, A., Decision Sciences, Centre for Supply Chain Improvement, University of Derby, United Kingdom","Agriculture plays an important role in sustaining all human activities. Major challenges such as overpopulation, competition for resources poses a threat to the food security of the planet. In order to tackle the ever-increasing complex problems in agricultural production systems, advancements in smart farming and precision agriculture offers important tools to address agricultural sustainability challenges. Data analytics hold the key to ensure future food security, food safety, and ecological sustainability. Disruptive information and communication technologies such as machine learning, big data analytics, cloud computing, and blockchain can address several problems such as productivity and yield improvement, water conservation, ensuring soil and plant health, and enhance environmental stewardship. The current study presents a systematic review of machine learning (ML) applications in agricultural supply chains (ASCs). Ninety three research papers were reviewed based on the applications of different ML algorithms in different phases of the ASCs. The study highlights how ASCs can benefit from ML techniques and lead to ASC sustainability. Based on the study findings an ML applications framework for sustainable ASC is proposed. The framework identifies the role of ML algorithms in providing real-time analytic insights for pro-active data-driven decision-making in the ASCs and provides the researchers, practitioners, and policymakers with guidelines on the successful management of ASCs for improved agricultural productivity and sustainability. © 2020 Elsevier Ltd","Agricultural supply chain; Machine learning; Smart farming; Sustainability; Systematic literature review","Agriculture; Data Analytics; Decision making; Environmental technology; Food supply; Learning systems; Machine learning; Productivity; Soil conservation; Supply chains; Water conservation; Agricultural production system; Agricultural supply chains; Agricultural sustainability; Ecological sustainability; Environmental stewardship; Information and Communication Technologies; Smart farming; Systematic literature review; Sustainable development",Article,"Final","",Scopus,2-s2.0-85082019942
"Dev N.K., Shankar R., Qaiser F.H.","26325297200;10638891800;57210615596;","Industry 4.0 and circular economy: Operational excellence for sustainable reverse supply chain performance",2020,"Resources, Conservation and Recycling","153",,"104583","","",,154,"10.1016/j.resconrec.2019.104583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075058351&doi=10.1016%2fj.resconrec.2019.104583&partnerID=40&md5=c216612fd4c98370f181e631277c950d","Department of Mechanical Engineering, Dayalbagh Educational Institute, Dayalbagh, Agra, India; Department of Management Studies, Indian Institute of Technology Delhi, New Delhi, India; Nottingham Business School, Nottingham Trent University, Nottingham, United Kingdom","Dev, N.K., Department of Mechanical Engineering, Dayalbagh Educational Institute, Dayalbagh, Agra, India; Shankar, R., Department of Management Studies, Indian Institute of Technology Delhi, New Delhi, India; Qaiser, F.H., Nottingham Business School, Nottingham Trent University, Nottingham, United Kingdom","The present research proposes a roadmap to the excellence of operations for sustainable reverse supply chain/logistics by the joint implementation of principles of Industry 4.0 (I4.0) and ReSOLVE model of circular economy (CE) approaches. The connection between I4.0 and CE is unveiled by addressing the case-based model affecting the economic and environmental performances imparting two important dimensions: (i) the information sharing with the reverse logistics system is in real-time mode, and (ii) diffusion of green product in the market. The effectiveness of the virtual world in I4.0 environment is explored using simulation of reverse logistics model involving operations such as inventory and production planning policy, family-based dispatching rules of remanufacturing, and additive manufacturing. The remanufacturing model examines the trade-off between set-up delays and the availability of green transportation. For managerial insights, Taguchi experimental design framework has been used for the analysis. Based on the trade-off analysis between environmental and economic performances, the findings of the paper suggest appropriate combinations of information-sharing and family-based dispatching rules. Further, the findings suggest that, given the I4.0 and circular capabilities, it is necessary to focus on the cost of the socially influenced operations involving factors such as collection investment and size of the end-user market that governs the product returns. Therefore, in the present paper, the integration of I4.0 and CE represents a real-time decision model for the sustainable reverse logistics system. © 2019 Elsevier B.V.","Circular economy; Family-based scheduling; Industry 4.0; Operations excellence; ReSOLVE model; Sustainable reverse supply chain","Environmental management; Industry 4.0; Information analysis; Information dissemination; Investments; Production control; Supply chains; Sustainable development; Virtual reality; Circular economy; Economic and environmental performance; Environmental and economic performance; Family based dispatching; Inventory and production; Operations excellence; Reverse supply chains; Taguchi experimental design; Economic and social effects; economic activity; manufacturing; modeling; supply chain management; article; diffusion; experimental design; investment; simulation",Article,"Final","",Scopus,2-s2.0-85075058351
"Dubey R., Gunasekaran A., Childe S.J., Bryde D.J., Giannakis M., Foropon C., Roubaud D., Hazen B.T.","36991875200;56238759300;6701664870;9335931400;22634489100;55570897100;56046754600;53663608700;","Big data analytics and artificial intelligence pathway to operational performance under the effects of entrepreneurial orientation and environmental dynamism: A study of manufacturing organisations",2020,"International Journal of Production Economics","226",,"107599","","",,141,"10.1016/j.ijpe.2019.107599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077155060&doi=10.1016%2fj.ijpe.2019.107599&partnerID=40&md5=5f3564e0c97fe3447db9606b3356e270","Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier34185, France; School of Business and Public Administration, California State University, Bakersfield, 9001 Stockdale Highway, Bakersfield, CA  93311-1022, United States; Plymouth Business School, Plymouth University, Plymouth, PL4 8AA, United Kingdom; Liverpool Business School, Liverpool John Moore's University, Liverpool, Merseyside L3 5UG, United Kingdom; Audencia Business School 8 route de la Jonelière-B.P. 31222, Nantes Cedex 344312, France; Logistikum, University of Applied Sciences, Upper Austria Wehrgrabengasse 1-3, Steyr, 4400, Austria","Dubey, R., Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier34185, France; Gunasekaran, A., School of Business and Public Administration, California State University, Bakersfield, 9001 Stockdale Highway, Bakersfield, CA  93311-1022, United States; Childe, S.J., Plymouth Business School, Plymouth University, Plymouth, PL4 8AA, United Kingdom; Bryde, D.J., Liverpool Business School, Liverpool John Moore's University, Liverpool, Merseyside L3 5UG, United Kingdom; Giannakis, M., Audencia Business School 8 route de la Jonelière-B.P. 31222, Nantes Cedex 344312, France; Foropon, C., Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier34185, France; Roubaud, D., Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier34185, France; Hazen, B.T., Logistikum, University of Applied Sciences, Upper Austria Wehrgrabengasse 1-3, Steyr, 4400, Austria","The importance of big data analytics, artificial intelligence, and machine learning has been at the forefront of research for operations and supply chain management. Literature has reported the influence of big data analytics for improved operational performance, but there has been a paucity of research regarding the role of entrepreneurial orientation (EO) on the adoption of big data analytics. To address this gap, we draw on the dynamic capabilities view of firms and on contingency theory to develop and test a model that describes the role of EO on the adoption of big data analytics powered by artificial intelligence (BDA-AI) and operational performance (OP). We tested our research hypotheses using a survey of 256 responses gathered using a pre-tested questionnaire from manufacturing firms in India with the help of the National Association of Software and Services Companies (NASSCOM) and the Federation of Indian Chambers of Commerce and Industry (FICCI). The results from our analysis indicate that EO enables an organisation to exploit and further explore the BDA-AI capabilities to achieve superior OP. Further, our results provide empirical evidence based on data analysis that EO is strongly associated with higher order capabilities (such as BDA-AI) and OP under differential effects of environmental dynamism (ED). These findings extend the dynamic capability view and contingency theory to create better understanding of dynamic capabilities of the organisation while also providing theoretically grounded guidance to the managers to align their EO with their technological capabilities within their firms. © 2019","Artificial intelligence; Big data analytics; Entrepreneurial orientation; Operational performance; PLS SEM; Supply chain management","Advanced Analytics; Artificial intelligence; Big data; Enterprise resource management; Industrial research; Manufacture; Software testing; Supply chain management; Surveys; Differential effect; Dynamic capabilities; Entrepreneurial orientation; Environmental dynamisms; Manufacturing organisations; Operational performance; Operations and supply chain managements; Technological capability; Data Analytics",Article,"Final","",Scopus,2-s2.0-85077155060
"Schniederjans D.G., Curado C., Khalajhedayati M.","27067961200;12753726700;57210427617;","Supply chain digitisation trends: An integration of knowledge management",2020,"International Journal of Production Economics","220",,"107439","","",,135,"10.1016/j.ijpe.2019.07.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070683093&doi=10.1016%2fj.ijpe.2019.07.012&partnerID=40&md5=507ee6c9a6b11f53a6f24217161c1c8c","University of Rhode Island, United States; ISEG – Technical University of Lisbon, United States","Schniederjans, D.G., University of Rhode Island, United States; Curado, C., ISEG – Technical University of Lisbon, United States; Khalajhedayati, M., University of Rhode Island, United States","The rapid digitisation of industry, or industry 4.0, is trending in supply chain management. While the amount of data made available through digitisation has enabled supply chain benefits, there still exist challenges regarding the rapid digitisation of the field. Therein lies opportunities for scholars to leverage the growing amount of data through knowledge management to cultivate valuable information for organisations. The purpose of this paper is to understand future inquiries for scholars to broaden their perspectives and leveraging knowledge management to enhance the supply chain digitisation research paradigm. This is done through both a large-scale literature review as well as a textual analysis and forecasting on industry- and field-applications, technologies and topics in digitisation. Utilizing textual data as well as google trends data from 2010 to 2018, comparisons are conducted on two measurements (prevalence and growth) to determine significant differences between the scholarly publications and practitioner (news and video) media to compare scholarly vs. practitioner activity in the aforementioned areas of supply chain digitisation. Applying the field of knowledge management to supply chain management through a knowledge management theoretical framework, this paper provides future research inquiries pertaining to how scholars can utilize the largely ignored areas of supply chain digitisation as well as the growing areas to explain how the human dimension of supply chain management can be further explored for the purposes of optimizing supply chain digital performance. © 2019","Digitisation; Forecasting; Knowledge management; Supply chain","Forecasting; Knowledge management; Supply chains; Chain digitisation; Digitisation; Field application; Human dimensions; Integration of knowledge; Literature reviews; Scholarly publication; Theoretical framework; Supply chain management",Article,"Final","",Scopus,2-s2.0-85070683093
